,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
0,Friday,Brad Bird,action,Tomorrowland,22/05/2015,Buena Vista Studios,202.1,170.0,202.1,6.7,3.26,111.9,55.4,32.1,18.9,130,90.2,44.6
1,Friday,Scott Waugh,action,Need for Speed,14/03/2014,Buena Vista Studios,204.2,66.0,203.3,6.6,2.97,159.7,78.6,137.3,208.0,132,43.6,21.4
3,Friday,"Phil Lord, Chris Miller",comedy,21 Jump Street,16/03/2012,Sony,208.8,42.0,201.6,7.2,3.62,63.1,31.3,159.6,380.0,109,138.4,68.7
4,Friday,Roland Emmerich,action,White House Down,28/06/2013,Sony,209.7,150.0,205.4,8.0,3.65,132.3,64.4,55.4,36.9,131,73.1,35.6
5,Friday,David Ayer,action,Fury,17/10/2014,Sony,212.8,80.0,211.8,5.8,2.85,126,59.5,131.8,164.8,134,85.8,40.5
6,Thursday,Rob Marshall,adventure,Into the Woods,25/12/2014,Buena Vista Studios,213.9,50.0,212.9,6.0,3.16,84.9,39.9,162.9,325.8,125,128.0,60.1
7,Friday,Daniel Espinosa,action,Safe House,10/02/2012,Universal,215.5,85.0,208.1,6.8,3.45,81.7,39.3,123.1,144.8,115,126.4,60.7
8,Friday,Gary Shore,action,Dracula Untold,10/10/2014,Universal,216.5,70.0,215.5,6.3,2.92,159.2,73.9,145.5,207.9,92,56.3,26.1
10,Friday,Eric Brevig,animation,Yogi Bear,17/12/2010,WB,219.9,80.0,201.6,4.5,2.17,101.3,50.3,121.6,152.0,80,100.2,49.7
14,Friday,Ryan Murphy,drama,Eat Pray Love,13/08/2010,Sony,223.1,60.0,204.6,5.6,2.84,124,60.6,144.6,241.0,133,80.6,39.4
15,Friday,Paul Greengrass,drama,Captain Phillips,11/10/2013,Sony,223.4,55.0,218.8,7.9,3.84,111.7,51.0,163.8,297.8,134,107.1,49.0
16,Friday,Hayao Miyazaki,animation,Ponyo,14/08/2009,Buena Vista Studios,223.7,34.0,201.8,7.7,3.82,186.7,92.5,167.8,493.5,101,15.1,7.5
17,Friday,Jaume Collet-Serra,action,Non-Stop,28/02/2014,Universal,223.8,50.0,222.8,7.0,3.4,130.6,58.6,172.8,345.6,106,92.2,41.4
18,Friday,Jonathan Liebesman,action,Battle: Los Angeles,11/03/2011,Sony,223.9,70.0,211.8,7.6,3.65,128.3,60.6,141.8,202.6,116,83.6,39.4
19,Friday,Christopher McQuarrie,action,Jack Reacher,21/12/2012,Paramount Pictures,226.1,60.0,218.3,7.0,3.46,138.3,63.3,158.3,263.8,130,80.1,36.7
20,Friday,Dennis Dugan,comedy,Just Go With It,11/02/2011,Sony,227.2,80.0,214.9,6.4,3.17,111.9,52.1,134.9,168.6,117,103.0,47.9
21,Friday,Robert Luketic,comedy,The Ugly Truth,24/07/2009,Sony,227.6,38.0,205.3,6.5,3.21,116.4,56.7,167.3,440.3,96,88.9,43.3
22,Friday,Jake Kasdan,comedy,Bad Teacher,24/06/2011,Sony,228.6,19.0,216.2,5.7,2.96,115.9,53.6,197.2,1037.9,92,100.3,46.4
23,Wednesday,Tate Taylor,drama,The Help,10/08/2011,Buena Vista Studios,229,25.0,216.6,8.1,3.93,46.9,21.7,191.6,766.4,146,169.7,78.3
24,Friday,Todd Phillips,comedy,Due Date,5/11/2010,WB,231,65.0,211.8,6.6,3.17,111.2,52.5,146.8,225.9,95,100.5,47.5
25,Friday,Tommy Wirkola,action,Hansel and Gretel: Witch Hunters,25/01/2013,Paramount Pictures,231,50.0,226.3,6.1,2.9,170.6,75.4,176.3,352.6,88,55.7,24.6
27,Friday,Martin Campbell,action,Green Lantern,17/06/2011,WB,232.5,200.0,219.9,5.7,2.87,103.3,47.0,19.9,10.0,114,116.6,53.0
28,Wednesday,Baz Luhrmann,adventure,Australia,26/11/2008,Fox,233.4,78.0,211.3,7.6,3.5,161.8,76.6,133.3,170.9,165,49.6,23.4
30,Friday,Paul Feig,action,The Heat,28/06/2013,Fox,234.7,43.0,229.9,6.6,4.07,70.3,30.6,186.9,434.7,117,159.6,69.4
31,Wednesday,Jon Turteltaub,action,The Sorcerer's Apprentice,14/07/2010,Buena Vista Studios,234.8,160.0,215.3,7.1,3.48,152.1,70.7,55.3,34.6,109,63.2,29.3
32,Thursday,Adam Shankman,comedy,Bedtime Stories,25/12/2008,Buena Vista Studios,235.2,80.0,212.9,6.1,3.12,102.8,48.3,132.9,166.1,99,110.1,51.7
33,Friday,Garry Marshall,comedy,Valentine's Day,12/02/2010,WB,236.1,52.0,216.5,5.8,3.0,106,49.0,164.5,316.4,125,110.5,51.0
36,Friday,Ben Affleck,drama,Argo,12/10/2012,WB,240.6,44.5,232.3,7.8,3.9,96.3,41.5,187.8,422.0,120,136.0,58.5
37,Friday,Michel Gondry,action,The Green Hornet,14/01/2011,Sony,240.8,110.0,227.8,5.9,2.97,129,56.6,117.8,107.1,119,98.8,43.4
38,Friday,Peyton Reed,comedy,The Break-Up,2/06/2006,Universal,241.8,52.0,205,5.8,2.94,86.3,42.1,153,294.2,106,118.7,57.9
39,Friday,Nancy Meyers,comedy,The Holiday,8/12/2006,Sony,241.9,85.0,205.1,6.9,3.53,141.9,69.2,120.1,141.3,138,63.2,30.8
40,Friday,Tom Vaughan,comedy,What Happens in Vegas,9/05/2008,Fox,242.3,35.0,219.4,7.3,3.51,139.1,63.4,184.4,526.9,99,80.3,36.6
41,Friday,Nancy Meyers,comedy,It's Complicated,25/12/2009,Universal,242.9,75.0,219.1,6.6,2.5,106.4,48.5,144.1,192.1,120,112.7,51.5
42,Friday,"Hayden Schlossberg, Jon Hurwitz",comedy,American Reunion,6/04/2012,Universal,243.4,50.0,235,6.8,3.17,178,75.7,185,370.0,113,57.0,24.3
44,Friday,Klay Hall,animation,Planes,9/08/2013,Buena Vista Studios,244.3,50.0,239.3,5.7,2.86,149,62.3,189.3,378.6,91,90.3,37.7
45,Friday,Brett Ratner,action,Hercules (2015),25/07/2014,Paramount Pictures,244.5,100.0,243.4,6.1,3.33,170.7,70.1,143.4,143.4,98,72.7,29.9
48,Thursday,Doug Liman,action,Jumper,14/02/2008,Fox,245.4,82.5,222.2,6.1,2.98,142.1,63.9,139.7,169.3,88,80.2,36.1
50,Wednesday,Dean Parisot,comedy,Fun with Dick and Jane,21/12/2005,Sony,246,140.0,202,6.1,3.0,91.7,45.4,62,44.3,90,110.3,54.6
51,Friday,Peyton Reed,comedy,Yes Man,19/12/2008,WB,246.5,50.0,223.2,6.9,3.46,125.6,56.2,173.2,346.4,104,97.7,43.8
54,Friday,M. Night Shyamalan,action,After Earth,31/05/2013,Sony,248.9,130.0,243.8,4.9,2.43,183.3,75.2,113.8,87.5,100,60.5,24.8
55,Friday,Judd Apatow,comedy,Knocked Up,1/06/2007,Universal,251.3,27.5,219.1,7.1,3.59,70.3,32.1,191.6,696.7,129,148.8,67.9
56,Friday,Pierre Morel,action,Taken,30/01/2009,Fox,251.4,25.0,226.8,7.9,3.85,81.8,36.1,201.8,807.2,93,145.0,63.9
57,Friday,Dennis Dugan,comedy,Grown Ups 2,12/07/2013,Sony,252.1,80.0,247,5.4,2.34,113.3,45.9,167,208.8,101,133.7,54.1
58,Friday,Peter Hewitt,comedy,Garfield: The Movie,11/06/2004,Fox,252.8,50.0,200.8,4.9,2.27,125.4,62.5,150.8,301.6,80,75.4,37.5
59,Friday,Tim Burton,comedy,Dark Shadows,11/05/2012,WB,254.3,150.0,245.5,6.2,3.03,165.8,67.5,95.5,63.7,113,79.7,32.5
60,Friday,Peter Segal,action,Get Smart,20/06/2008,WB,254.8,80.0,230.7,6.5,3.27,100.4,43.5,150.7,188.4,110,130.3,56.5
61,Wednesday,Antoine Fuqua,action,King Arthur,7/07/2004,Buena Vista Studios,256.3,90.0,203.6,6.3,3.05,151.7,74.5,113.6,126.2,126,51.9,25.5
62,Friday,David O. Russell,drama,American Hustle,13/12/2013,Sony,256.4,40.0,251.2,6.3,2.81,101.1,40.2,211.2,528.0,138,150.1,59.8
64,Friday,Scott Derrickson,drama,The Day the Earth Stood Still (2008),12/12/2008,Fox,257.5,80.0,233.1,5.5,2.81,153.7,66.0,153.1,191.4,104,79.4,34.0
65,Friday,Ridley Scott,action,Kingdom of Heaven,6/05/2005,Fox,257.8,110.0,211.7,7.2,3.47,164.3,77.6,101.7,92.5,145,47.4,22.4
66,Saturday,Rob Letterman,adventure,Gulliver's Travels,25/12/2010,Fox,258.9,112.0,237.4,4.9,2.53,194.6,82.0,125.4,112.0,85,42.8,18.0
68,Friday,Gore Verbinski,animation,Rango,4/03/2011,Paramount Pictures,259.8,135.0,245.7,7.3,3.51,122.2,49.7,110.7,82.0,107,123.5,50.3
69,Friday,Mark Steven Johnson,action,Ghost Rider,16/02/2007,Sony,262.4,120.0,228.7,5.2,2.19,112.9,49.4,108.7,90.6,114,115.8,50.6
